fetchedAt,rank,address,displayName,coin,side,size,entryPx,positionValue,unrealizedPnl,returnOnEquity,leverage,liquidationPx
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,SUI,short,-0.5,3.67761,0.343645,1.495161,8.1311514102,10,23386865.1092971414
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,XRP,short,-249233.0,1.901026,262242.9626,211555.533082,8.9301901551,20,49.1142057323
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,HYPE,short,-283464.31,57.7957,17835290.9208899997,-1452254.7506570001,-0.4432190516,5,102.6429018636
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,FARTCOIN,short,-12662820.1999999993,0.24537,1656676.7667660001,1450464.2444460001,2.33408178,5,1.0542761223
2026-06-28T09:21:33.727838+00:00,4,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,,PUMP,short,-2022108.0,0.006521,2972.49876,10214.840194,3.8729724889,5,5.7842631105
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,BTC,long,0.62802,71584.6,37867.09392,-7089.521183,-0.788484761,5,
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,ETH,long,0.5563,1667.9,879.23215,-48.62062,-0.5240122309,10,
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,SOL,short,-733.91,91.5472,52613.27399,14574.160644,0.8676718034,4,25748.211524974
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,AVAX,short,-0.41,6.5726,2.6117,0.083066,0.308249399,10,44867284.0992961675
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,APE,short,-0.1,0.15831,0.014016,0.001815,0.5732423726,5,175594209.7988999784
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,DOGE,short,-1.0,0.107181,0.074035,0.033146,3.0925257275,10,18395583.943045713
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,LINK,short,-6.0,9.76609,43.9398,14.656776,2.5013024652,10,3065937.9681352377
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,XRP,long,11459.0,1.394549,12057.1598,-3922.9798,-1.2274547965,5,
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,HYPE,short,-846396.7,66.2434,53262051.5376000032,2806220.4121170002,0.2502503033,5,83.6740886436
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,FARTCOIN,short,-6803285.0999999996,0.2474,890481.986739,792683.207774,4.7094795589,10,2.834816647
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,XPL,short,-847101.0,0.108604,84677.063061,7321.570739,0.3979173623,5,20.9852340015
2026-06-28T09:21:33.727838+00:00,7,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,,ASTER,long,3229.0,1.092741,2009.53586,-1518.924879,-1.2914341335,3,
